"variable","lower","upper","med","real","real.in.83","real.minus.med","percent.error","run_id"
"gorgonianElectivity",-0.054633391072732,0.15669626040334,0.049142040401662,0.111574061825906,TRUE,0.0624320214242437,-55.9556767966907,31
"fireElectivity",-1.14048145964621,-0.843537296826479,-0.989417427748683,-1.01000268728493,TRUE,-0.0205852595362512,-2.03813908570759,31
"spongeElectivity",0.738843084173437,0.986640543520226,0.861318715858933,0.887879801316048,TRUE,0.0265610854571152,-2.99151815569465,31
"scleractinianElectivity",-0.454716220720673,-0.241421698292729,-0.349050492307409,-0.307217559138982,TRUE,0.0418329331684273,13.6167129527588,31
"gorgonianElectivity",0.386625430279085,0.565110629840866,0.47545526656659,1.00991379491475,FALSE,0.534458528348157,-52.921202882794,32
"fireElectivity",0.301783929144247,0.476706093242177,0.388376259653417,0.903067154640742,FALSE,0.514690894987325,-56.9936457485356,32
"spongeElectivity",-1.24737414589788,-0.980663368884417,-1.11219716308251,-0.80519862165049,FALSE,0.306998541432021,38.1270574957937,32
"scleractinianElectivity",-0.303737790575299,-0.130949639482029,-0.217389396046858,0.06286534474169,FALSE,0.280254740788548,-445.801644674182,32
"gorgonianElectivity",-0.717779623702958,-0.486385616633022,-0.603001331353484,-0.534776646171061,TRUE,0.0682246851824229,12.7576036969646,33
"fireElectivity",0.41958695308571,0.650860122727135,0.533507589864412,0.495058274885941,TRUE,-0.0384493149784711,7.76662403781245,33
"spongeElectivity",0.402073166981813,0.642930667595165,0.521246072094381,0.548494049782142,TRUE,0.0272479776877611,-4.967779996626,33
"scleractinianElectivity",-1.30820920711477,-0.947247788086939,-1.12372812595753,-1.22774261421895,TRUE,-0.104014488261418,-8.4720109131008,33
"gorgonianElectivity",-0.739459719248108,-0.544128147862168,-0.643016936107138,-0.471358191998602,FALSE,0.171658744108536,36.4178976885258,34
"fireElectivity",-0.710352419201757,-0.526548890943734,-0.618583298201606,-0.455688824645648,FALSE,0.162894473555958,35.7468660072204,34
"spongeElectivity",-0.241046580872894,-0.067303385668519,-0.154241589048214,0.132562261368236,FALSE,0.28680385041645,-216.35407200829,34
"scleractinianElectivity",1.15268640297182,1.37663467355717,1.26310462817582,2.24819234779111,FALSE,0.985087719615282,-43.8168789509114,34
"gorgonianElectivity",0.380206778189667,0.569099317679245,0.47377646413929,1.22252541528467,FALSE,0.748748951145381,-61.2460846853667,35
"fireElectivity",0.219715723782625,0.403160765036423,0.309715349723226,0.895862262639488,FALSE,0.586146912916262,-65.4282401838527,35
"spongeElectivity",-0.335051908918293,-0.144165132151482,-0.239999247840698,0.203905063037902,FALSE,0.4439043108786,-217.701465704207,35
"scleractinianElectivity",-0.633560559517543,-0.430034081568032,-0.531217444377896,-0.215998412229601,FALSE,0.315219032148295,145.935809849021,35
